	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Organism	abbreviation	accession
GCA_000827575.1	PRJEB8039	SAMEA3180108	CDOK00000000.1	na	28188	28188.0	Capnocytophaga canimorsus	strain=Cc11		latest	contig	Major	full	2015/01/21	Cc11.1	BIOZENTRUM, UNIVERSITY OF BASEL	GCF_000827575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/575/GCA_000827575.1_Cc11.1			Capnocytophaga_canimorsus	C_canimors	SAMEA3180108
GCA_000830925.1	PRJNA230427	SAMN02444487		na	1432059	61435.0	Dehalococcoides mccartyi CG1	strain=CG1		latest	complete genome	Major	full	2014/08/04	ASM83092v1	GIS/NUS	GCF_000830925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/925/GCA_000830925.1_ASM83092v1			Dehalococcoides_mccartyi	D_mccartyi	SAMN02444487
GCA_001548455.1	PRJDB4348	SAMD00042785		na	1752063	1752063.0	Fischerella sp. NIES-3754	strain=NIES-3754		latest	complete genome	Major	full	2015/12/17	ASM154845v1	Toyohashi University of Technology	GCF_001548455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/455/GCA_001548455.1_ASM154845v1			Fischerella	Fischerell	SAMD00042785
GCA_001672225.1	PRJNA294801	SAMN04028828	LJOP00000000.1	na	1710892	1710892.0	Anabaena sp. LE011-02		39865	latest	scaffold	Major	full	2016/06/20	ASM167222v1	Oregon State University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/225/GCA_001672225.1_ASM167222v1	derived from metagenome		Anabaena_sp_39865	A_sp_39865	SAMN04028828
GCA_001767235.1	PRJNA345358	SAMN05826283		representative genome	1458985	1155739.0	Moorea producens PAL-8-15-08-1			latest	complete genome	Major	full	2016/10/18	ASM176723v1	UCSD	GCF_001767235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/767/235/GCA_001767235.1_ASM176723v1			Moorea_producens	M_producen	SAMN05826283
GCA_001899335.1	PRJNA347484	SAMN05890510	MOYE00000000.1	na	1906137	1906137.0	Candidatus Gastranaerophilus phascolarctosicola		Zag_221	latest	scaffold	Major	full	2016/12/09	ASM189933v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/899/335/GCA_001899335.1_ASM189933v1	derived from metagenome		M_p13725	M_p13725	SAMN05890510
GCA_002083825.1	PRJNA348150	SAMN05981169	DAZV00000000.1	na	1919279	1919279.0	Candidatus Sericytochromatia bacterium S15B-MN24 CBMW_12		S15B-MN24 CBMW_12	latest	contig	Major	full	2017/04/10	ASM208382v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/083/825/GCA_002083825.1_ASM208382v1	derived from metagenome		DAZV01.1	Seriscyt	SAMN05981169
GCA_002368255.1	PRJDB5665	SAMD00079812		na	1973484	1184.0	Leptolyngbya boryana NIES-2135	strain=NIES-2135		latest	complete genome	Major	full	2017/06/25	ASM236825v1	Toyohashi University of Technology	GCF_002368255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/368/255/GCA_002368255.1_ASM236825v1			Leptolyngbya_boryana	L_boryana	SAMD00079812
GCA_003003615.1	PRJNA436169	SAMN08617412	PVWD00000000.1	na	2107700	2107700.0	filamentous cyanobacterium CCP2	strain=CCP2		latest	contig	Major	full	2018/03/15	ASM300361v1	Massachusetts Institute of Technology	GCF_003003615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/615/GCA_003003615.1_ASM300361v1			TFC1_03	TFC1_03	SAMN08617412
GCA_003003695.1	PRJNA436169	SAMN08617406	PVWG00000000.1	na	1920490	268141.0	Phormidesmis priestleyi ULC007	strain=ULC007		latest	contig	Major	full	2018/03/15	ASM300369v1	Massachusetts Institute of Technology	GCF_003003695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/695/GCA_003003695.1_ASM300369v1			Phormidesmis_priestleyi_ULC007	P_priestle	SAMN08617406
GCA_003003715.1	PRJNA436169	SAMN08617405	PVWH00000000.1	na	2107705	2107705.0	filamentous cyanobacterium Phorm 46	strain=Phorm 46		latest	scaffold	Major	full	2018/03/15	ASM300371v1	Massachusetts Institute of Technology	GCF_003003715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/715/GCA_003003715.1_ASM300371v1			Phorm_46	Phorm_46	SAMN08617405
GCA_003003725.1	PRJNA436169	SAMN08617404	PVWI00000000.1	na	2107706	2107706.0	filamentous cyanobacterium Phorm 6	strain=Phorm 6		latest	scaffold	Major	full	2018/03/15	ASM300372v1	Massachusetts Institute of Technology	GCF_003003725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/725/GCA_003003725.1_ASM300372v1			Phorm_6	Phorm_6	SAMN08617404
GCA_003003775.1	PRJNA436169	SAMN08617403	PVWJ00000000.1	na	1296344	292586.0	Merismopedia glauca CCAP 1448/3	strain=CCAP 1448/3		latest	contig	Major	full	2018/03/15	ASM300377v1	Massachusetts Institute of Technology	GCF_003003775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/775/GCA_003003775.1_ASM300377v1			Merismopedia_glauca_CCALA99	M_glauca_C	SAMN08617403
GCA_003003795.1	PRJNA436169	SAMN08617402	PVWK00000000.1	na	2107698	268127.0	Leptolyngbya frigida ULC18	strain=ULC18		latest	scaffold	Major	full	2018/03/15	ASM300379v1	Massachusetts Institute of Technology	GCF_003003795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/795/GCA_003003795.1_ASM300379v1			Leptolyngbya_frigida_ULC18	L_frigida_	SAMN08617402
GCA_003003835.1	PRJNA436169	SAMN08617399	PVWM00000000.1	na	2107689	171392.0	Chroococcidiopsis cubana CCALA 043	strain=CCALA 043		latest	scaffold	Major	full	2018/03/15	ASM300383v1	Massachusetts Institute of Technology	GCF_003003835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/835/GCA_003003835.1_ASM300383v1			Chroococcidiopsis_CCALA43	Ch_CCALA43	SAMN08617399
GCA_003003845.1	PRJNA436169	SAMN08617397	PVWO00000000.1	na	2107692	2107691.0	Chamaesiphon polymorphus CCALA 037	strain=CCALA 037		latest	contig	Major	full	2018/03/15	ASM300384v1	Massachusetts Institute of Technology	GCF_003003845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/845/GCA_003003845.1_ASM300384v1			Chamaesyphon_polymorphus_CCALA37	C_polymorp	SAMN08617397
GCA_003003885.1	PRJNA436169	SAMN08617398	PVWN00000000.1	na	2107693	2107693.0	Chlorogloea sp. CCALA 695	strain=CCALA 695		latest	scaffold	Major	full	2018/03/15	ASM300388v1	Massachusetts Institute of Technology	GCF_003003885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/885/GCA_003003885.1_ASM300388v1			Chlorogloea_CCALA695	Chlorogloe	SAMN08617398
GCA_003003915.1	PRJNA436169	SAMN08617409	PVWE00000000.1	na	2107703	2107703.0	filamentous cyanobacterium CCP1	strain=CCP1		latest	contig	Major	full	2018/03/15	ASM300391v1	Massachusetts Institute of Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/915/GCA_003003915.1_ASM300391v1	low contig N50		T2C2_01	T2C2_01	SAMN08617409
GCA_003003925.1	PRJNA436169	SAMN08617395	PVWP00000000.1	na	2107695	543815.0	Aphanothece cf. minutissima CCALA 015	strain=CCALA 015		latest	contig	Major	full	2018/03/15	ASM300392v1	Massachusetts Institute of Technology	GCF_003003925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/925/GCA_003003925.1_ASM300392v1			Aphanothece_cf_minutissima_CCALA15	A_cf_minut	SAMN08617395
GCA_003003995.1	PRJNA436169	SAMN08617407	PVWF00000000.1	na	2107688	2107688.0	Pleurocapsa sp. CCALA 161	strain=CCALA 161		latest	scaffold	Major	full	2018/03/15	ASM300399v1	Massachusetts Institute of Technology	GCF_003003995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/995/GCA_003003995.1_ASM300399v1			Pleurocapsa_CCALA161	Pleurocaps	SAMN08617407
GCA_003004015.1	PRJNA436169	SAMN08617401	PVWL00000000.1	na	2107697	2107696.0	Cyanosarcina cf. burmensis CCALA 770	strain=CCALA 770		latest	scaffold	Major	full	2018/03/15	ASM300401v1	Massachusetts Institute of Technology	GCF_003004015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/004/015/GCA_003004015.1_ASM300401v1			Cyanosarcina_CCALA770	C_CCALA770	SAMN08617401
GCA_003007785.1	PRJNA436169	SAMN08617396	PXOH00000000.1	na	2107694	1521625.0	Aphanothece hegewaldii CCALA 016	strain=CCALA 016		latest	contig	Major	full	2018/03/18	ASM300778v1	Massachusetts Institute of Technology	GCF_003007785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/007/785/GCA_003007785.1_ASM300778v1			Aphanothece_hegewaldii_CCALA16	A_hegewald	SAMN08617396
GCA_003015105.1	PRJNA436169	SAMN08617400	PYCI00000000.1	na	869949	869949.0	Chroococcidiopsis sp. CCALA 051	strain=CCALA 051		latest	contig	Major	full	2018/03/25	ASM301510v1	Massachusetts Institute of Technology	GCF_003015105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/015/105/GCA_003015105.1_ASM301510v1			Chroococcidiopsis_CCALA51	Ch_CCALA51	SAMN08617400
GCA_003017785.1	PRJNA436169	SAMN08617411	PYEQ00000000.1	na	2107701	2107701.0	filamentous cyanobacterium CCP5	strain=CCP5		latest	contig	Major	full	2018/03/26	ASM301778v1	Massachusetts Institute of Technology	GCF_003017785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/785/GCA_003017785.1_ASM301778v1			TFC1_02	TFC1_02	SAMN08617411
GCA_003017855.1	PRJNA436169	SAMN08617410	PYER00000000.1	na	2107702	2107702.0	filamentous cyanobacterium CCT1	strain=CCT1		latest	contig	Major	full	2018/03/26	ASM301785v1	Massachusetts Institute of Technology	GCF_003017855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/855/GCA_003017855.1_ASM301785v1			TF_M1_04	TF_M1_03	SAMN08617410
GCA_003018975.1	PRJNA436169	SAMN08617413	PYFY00000000.1	na	2107699	2107699.0	filamentous cyanobacterium CCP4	strain=CCP4		latest	contig	Major	full	2018/03/26	ASM301897v1	Massachusetts Institute of Technology	GCF_003018975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/975/GCA_003018975.1_ASM301897v1			TFC2_03	TFC2_02	SAMN08617413
GCA_003022385.1	PRJNA436169	SAMN08617408	PYGV00000000.1	na	2107704	2107704.0	filamentous cyanobacterium CCP3	strain=CCP3		latest	contig	Major	full	2018/03/27	ASM302238v1	Massachusetts Institute of Technology	GCF_003022385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/385/GCA_003022385.1_ASM302238v1			T2C2_02	T2C2_02	SAMN08617408
GCA_003060805.1	PRJNA448786	SAMN08865926		na	2153484	2153484.0	Arthrospira sp. TJSD092	strain=TJSD092		latest	complete genome	Major	full	2018/04/23	ASM306080v1	Tianjin University of Commerce	GCF_003060805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/060/805/GCA_003060805.1_ASM306080v1			Arthrospira	Arthrospir	SAMN08865926
GCA_000009705.1	PRJNA244	SAMD00061094		na	103690	103690.0	Nostoc sp. PCC 7120			latest	complete genome	Major	full	2004/05/11	ASM970v1	Kazusa	GCF_000009705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/705/GCA_000009705.1_ASM970v1			Nostoc_sp_PCC_7120	N_PCC7120	PRJNA244
GCA_000010065.1	PRJNA13282	SAMD00061073		representative genome	269084	32046.0	Synechococcus elongatus PCC 6301	strain=PCC 6301		latest	complete genome	Major	full	2004/12/16	ASM1006v1	Nagoya University, Japan	GCF_000010065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1		assembly from type material	Synechococcus_elongatus_PCC_6301	S_elongatu	PRJNA13282
GCA_000011345.1	PRJNA308	SAMD00061106		reference genome	197221	146786.0	Thermosynechococcus elongatus BP-1	strain=BP-1		latest	complete genome	Major	full	2004/05/11	ASM1134v1	Kazusa	GCF_000011345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/345/GCA_000011345.1_ASM1134v1			Thermosynechococcus_elongatus_BP_1	T_elongatu	PRJNA308
GCA_000013125.1	PRJNA336	SAMN02604015		representative genome	212042	948.0	Anaplasma phagocytophilum str. HZ	strain=HZ		latest	complete genome	Major	full	2006/02/21	ASM1312v1	TIGR	GCF_000013125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/125/GCA_000013125.1_ASM1312v1			Anaplasma_phagocytophilum	A_phagocyt	PRJNA336
GCA_000143455.1	PRJNA13109	SAMN02953753	ACJH00000000.1	representative genome	3068	3067.0	Volvox carteri f. nagariensis	strain=Eve		latest	scaffold	Major	full	2010/07/08	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCF_000143455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/455/GCA_000143455.1_v1.0			Volvox_carteri_f_nagariensis	V_carteri_	PRJNA13109
GCA_000178855.1	PRJNA27943	SAMN02441796	ADVG00000000.1	representative genome	485913	363277.0	Ktedonobacter racemifer DSM 44963	strain=SOSP1-21		latest	scaffold	Major	full	2010/06/04	ASM17885v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000178855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/855/GCA_000178855.1_ASM17885v1		assembly from type material	Ktedonobacter_racemifer	K_racemife	PRJNA27943
GCA_000190535.1	PRJNA43469	SAMN00713588		representative genome	709991	28118.0	Odoribacter splanchnicus DSM 20712	strain=DSM 220712		latest	complete genome	Major	full	2011/02/28	ASM19053v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000190535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/535/GCA_000190535.1_ASM19053v1		assembly from type material	Odoribacter_splanchnicus	O_splanchn	PRJNA43469
GCA_000210375.1	PRJDA42161	SAMD00060970		representative genome	696747	118562.0	Arthrospira platensis NIES-39	strain=NIES-39		latest	chromosome	Major	full	2010/03/25	ASM21037v1	National Institute of Technology and Evaluation	GCF_000210375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/375/GCA_000210375.1_ASM21037v1			Arthrospira_platensis_NIES_39	A_NIES_39	PRJDA42161
GCA_000314005.1	PRJNA158827	SAMN02261255	ALVR00000000.1	representative genome	1173029	54311.0	Spirulina subsalsa PCC 9445	strain=PCC 9445		latest	scaffold	Major	full	2012/11/26	ASM31400v1	JGI	GCF_000314005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/005/GCA_000314005.1_ASM31400v1			Spirulina_subsalsa	S_subsalsa	PRJNA158827
GCA_000317025.1	PRJNA158829	SAMN02261346		representative genome	118163	54308.0	Pleurocapsa sp. PCC 7327	strain=PCC 7327		latest	complete genome	Major	full	2012/12/05	ASM31702v1	JGI	GCF_000317025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/025/GCA_000317025.1_ASM31702v1			Pleurocapsa_minor	P_minor	PRJNA158829
GCA_000317145.1	PRJNA158825	SAMN02261345		representative genome	1173020	1173032.0	Chamaesiphon minutus PCC 6605	strain=PCC 6605		latest	chromosome	Major	full	2012/12/05	ASM31714v1	JGI	GCF_000317145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/145/GCA_000317145.1_ASM31714v1		assembly from type material	Chamaesiphon_minutus	C_minutus	PRJNA158825
GCA_000332315.1	PRJNA158811	SAMN02261252	ANKN00000000.1	representative genome	317619	1223.0	Prochlorothrix hollandica PCC 9006 = CALU 1027	strain=PCC 9006		latest	scaffold	Major	full	2013/01/22	ASM33231v1	JGI	GCF_000332315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/315/GCA_000332315.1_ASM33231v1		assembly from type material	Prochlorothrix_hollandica	P_hollandi	PRJNA158811
GCA_001611905.1	PRJNA299041	SAMN04192332		na	1738638	118562.0	Arthrospira platensis YZ	strain=YZ		latest	chromosome	Major	full	2016/04/06	ASM161190v1	Wenzhou Medical University	GCF_001611905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/905/GCA_001611905.1_ASM161190v1			Arthrospira_platensis	A_platensi	PRJNA299041
GCA_001890765.1	PRJNA158715	SAMN02744077	ALVQ00000000.1	representative genome	129961	270636.0	Spirulina major PCC 6313	strain=PCC 6313		latest	scaffold	Major	full	2016/12/07	ASM189076v1	JGI	GCF_001890765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/765/GCA_001890765.1_ASM189076v1		assembly from type material	Spirulina_major	S_major	PRJNA158715
GCA_001899315.1	PRJNA347481	SAMN05890506	MOYA00000000.1	na	1906157	1906157.0	Candidatus Obscuribacter phosphatis		EBPR_351	latest	scaffold	Major	full	2016/12/09	ASM189931v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/899/315/GCA_001899315.1_ASM189931v1	derived from metagenome		M_p26868	M_p26868	PRJNA347481
GCF_000002425.4	PRJNA28131	SAMN00120126	ABEU00000000.2	representative genome	3218	3218.0	Physcomitrella patens	ecotype=Gransden 2004		latest	chromosome	Major	full	2018/01/24	Phypa V3	Moss Genome Consortium	GCA_000002425.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/425/GCF_000002425.4_Phypa_V3			Physcomitrella_patens	P_patens	PRJNA28131
GCF_000002595.1	PRJNA21061	SAMN02953692	ABCN00000000.1	representative genome	3055	3055.0	Chlamydomonas reinhardtii	strain=CC-503 cw92 mt+		latest	scaffold	Major	full	2007/10/15	v3.0	DOE Joint Genome Institute	GCA_000002595.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/595/GCF_000002595.1_v3.0			Chlamydomonas_reinhardtii	C_reinhard	PRJNA21061
GCF_000471905.2	PRJNA238126	SAMN02313977	AWHE00000000.1	representative genome	13333	13333.0	Amborella trichopoda			latest	scaffold	Minor	full	2013/09/30	AMTR1.0	Amborella Genome Sequencing Project	GCA_000471905.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/905/GCF_000471905.2_AMTR1.0			Amborella_trichopoda	A_trichopo	PRJNA238126
GCA_000317695.1	PRJNA43355	SAMN02232008		representative genome	272123	1165.0	Anabaena cylindrica PCC 7122	strain=PCC 7122		latest	complete genome	Major	full	2012/12/07	ASM31769v1	DOE Joint Genome Institute	GCF_000317695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/695/GCA_000317695.1_ASM31769v1		assembly from type material	Anabaena_cylindrica	A_cylindri	GCA_000317695.1
GCA_001870225.1	PRJNA348305	SAMN05853575		representative genome	1188229	1188228.0	Gloeomargarita lithophora Alchichica-D10	strain=D10		latest	chromosome	Major	full	2016/11/07	ASM187022v1	universite paris-sud/paris-saclay	GCF_001870225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/870/225/GCA_001870225.1_ASM187022v1		assembly from type material	Candidatus_Gloeomargarita_lithophora	G_lithopho	GCA_001870225.1
28																						Cyanidium_caldarium	C_caldariu	PRJNA12230
104																						Acer_davidii	A_davidii	PRJNA325991
105																						Adiantum_capillus-veneris	A_capillus	PRJNA12239
107																						Cattleya_liliputana	C_liliputa	PRJNA356572
108																						Chara_vulgaris	C_vulgaris	PRJNA19853
110																						Cyanophora_paradoxa	C_paradoxa	PRJNA15743
111																						Durinskia_baltica	D_baltica	PRJNA50277
112																						Ectocarpus_siliculosus	E_siliculo	PRJNA41869
113																						Emiliania_huxleyi	E_huxleyi	PRJNA20387
114																						Fistulifera_solaris	F_solaris	PRJNA66177
115																						Gracilariopsis_lemaneiformis	G_lemaneif	PRJNA314878
116																						Huperzia_lucidula	H_lucidula	PRJNA13599
117																						Koliella_corcontica	K_corconti	PRJNA267422
118																						Kryptoperidinium_foliaceum	K_foliaceu	PRJNA50237
119																						Lilium_tsingtauense	L_tsingtau	PRJNA291892
120																						Marchantia_paleacea_subsp_diptera	M_paleacea	PRJDB3738
121																						Mesostigma_viride	M_viride	PRJNA12234
122																						Nannochloropsis_salina	N_salina	PRJNA218133
123																						Odontella_sinensis	O_sinensis	PRJNA12229
124																						Oryza_rufipogon	O_rufipogo	PRJNA45999
125																						Phaeodactylum_tricornutum	P_tricornu	PRJNA18283
127																						Porphyridium_purpureum	P_purpureu	PRJNA232187
128																						Pseudo-nitzschia_multiseries	P_multiser	PRJNA287360
129																						Pyropia_yezoensis	P_yezoensi	PRJNA16670
130																						Thorea_hispida	T_hispida	PRJNA344076
131																						Thalassiosira_pseudonana	T_pseudona	PRJNA20561
132																						Ulnaria_acus	U_acus	PRJNA81371
134																						Zygnema_circumcarinatum	Z_circumca	PRJNA17049
